                Time          Cycles PC       Instr    Mnemonic
               65500               5 00000080 0040006f jal              x0, 4              
               66500               6 00000084 f1402573 csrrs            x10, x0, 0xf14      x10=00000000
               67500               7 00000088 01f57593 andi             x11, x10, 31        x11=00000000 x10:00000000
               68500               8 0000008c 00555513 srli             x10, x10, 0x5       x10=00000000 x10:00000000
               69500               9 0000008e 00010297 auipc            x5, 0x10000          x5=0001008e
               70500              10 00000092 0b228293 addi             x5, x5, 178          x5=00010140  x5:0001008e
               71500              11 00000096 00010317 auipc            x6, 0x10000          x6=00010096
               72500              12 0000009a 17a30313 addi             x6, x6, 378          x6=00010210  x6:00010096
               73500              13 0000009e 0002a023 sw               x0, 0(x5)            x5:00010140  PA:00010140
               75500              15 000000a2 00428293 addi             x5, x5, 4            x5=00010144  x5:00010140
               77500              17 000000a4 fe62ede3 bltu             x5, x6, -6           x5:00010144  x6:00010210
               80500              20 0000009e 0002a023 sw               x0, 0(x5)            x5:00010144  PA:00010144
               82500              22 000000a2 00428293 addi             x5, x5, 4            x5=00010148  x5:00010144
               84500              24 000000a4 fe62ede3 bltu             x5, x6, -6           x5:00010148  x6:00010210
               87500              27 0000009e 0002a023 sw               x0, 0(x5)            x5:00010148  PA:00010148
               89500              29 000000a2 00428293 addi             x5, x5, 4            x5=0001014c  x5:00010148
               91500              31 000000a4 fe62ede3 bltu             x5, x6, -6           x5:0001014c  x6:00010210
               94500              34 0000009e 0002a023 sw               x0, 0(x5)            x5:0001014c  PA:0001014c
               96500              36 000000a2 00428293 addi             x5, x5, 4            x5=00010150  x5:0001014c
               98500              38 000000a4 fe62ede3 bltu             x5, x6, -6           x5:00010150  x6:00010210
              101500              41 0000009e 0002a023 sw               x0, 0(x5)            x5:00010150  PA:00010150
              103500              43 000000a2 00428293 addi             x5, x5, 4            x5=00010154  x5:00010150
              105500              45 000000a4 fe62ede3 bltu             x5, x6, -6           x5:00010154  x6:00010210
              108500              48 0000009e 0002a023 sw               x0, 0(x5)            x5:00010154  PA:00010154
              110500              50 000000a2 00428293 addi             x5, x5, 4            x5=00010158  x5:00010154
              112500              52 000000a4 fe62ede3 bltu             x5, x6, -6           x5:00010158  x6:00010210
              115500              55 0000009e 0002a023 sw               x0, 0(x5)            x5:00010158  PA:00010158
              117500              57 000000a2 00428293 addi             x5, x5, 4            x5=0001015c  x5:00010158
              119500              59 000000a4 fe62ede3 bltu             x5, x6, -6           x5:0001015c  x6:00010210
              122500              62 0000009e 0002a023 sw               x0, 0(x5)            x5:0001015c  PA:0001015c
              124500              64 000000a2 00428293 addi             x5, x5, 4            x5=00010160  x5:0001015c
              126500              66 000000a4 fe62ede3 bltu             x5, x6, -6           x5:00010160  x6:00010210
